Date,Category,Likes,Shares,Reposts,Comments
2015-01-01,Fashion,7495,379,186,9386
2015-01-01,Health,1434,741,53,9397
2015-01-01,Family,6412,686,55,9525
2015-01-01,Culture,3894,914,127,9728
2015-01-01,Travel,9825,614,29,4575
2015-01-01,Culture,275,253,116,6078
2015-01-01,Fitness,9984,963,197,2305
2015-01-01,Music,9466,406,176,9963
2015-01-01,Fitness,9480,271,164,4690
2015-01-01,Fitness,888,690,5,5924
2015-01-01,Food,6897,722,72,2856
2015-01-01,Travel,3025,367,64,6976
2015-01-01,Culture,7207,538,130,8913
2015-01-01,Travel,6295,576,157,8595
2015-01-01,Fashion,3435,707,8,7674
2015-01-01,Music,6156,820,11,6578
2015-01-01,Family,5217,276,109,6652
2015-01-01,Fitness,5858,258,7,3733
2015-01-01,Travel,8527,754,171,3454
2015-01-01,Food,6779,142,120,3439
2015-01-01,Food,648,332,2,2686
2015-01-01,Travel,9898,272,170,2676
2015-01-01,Music,4369,232,176,2039
2015-01-01,Travel,875,861,47,3094
2015-01-01,Music,5986,190,31,2913
2015-01-01,Culture,3167,417,32,485
2015-01-01,Travel,1744,533,147,4785
2015-01-01,Food,5326,357,149,3324
2015-01-02,Family,7897,246,71,7008
2015-01-02,Fashion,2481,99,196,3949
2015-01-02,Travel,664,715,63,6748
2015-01-02,Health,8665,4,152,6183
2015-01-02,Culture,6815,192,110,4303
2015-01-02,Music,9758,500,47,6008
2015-01-02,Fashion,5540,630,190,6353
2015-01-02,Culture,1180,447,177,6933
2015-01-02,Music,3536,182,24,8277
2015-01-02,Fashion,5663,689,129,198
2015-01-02,Family,3663,71,129,7624
2015-01-02,Travel,9342,203,103,1281
2015-01-02,Family,5247,848,47,8515
2015-01-02,Music,1164,247,36,6043
2015-01-02,Food,4721,116,0,1515
2015-01-02,Fitness,2825,573,50,696
2015-01-02,Fashion,1761,592,16,5872
2015-01-02,Travel,1675,69,198,8064
2015-01-02,Music,7331,372,81,311
2015-01-02,Fitness,9005,687,170,4347
2015-01-02,Fitness,5033,764,0,5786
2015-01-02,Family,8077,388,71,6120
2015-01-02,Fitness,1653,987,62,928
2015-01-02,Travel,2149,255,64,9690
2015-01-02,Health,9058,784,75,7768
2015-01-02,Family,298,371,94,5964
2015-01-02,Family,6981,222,179,1459
2015-01-03,Culture,5401,344,95,6916
2015-01-03,Fitness,9486,823,178,2037
2015-01-03,Family,5130,500,24,7896
2015-01-03,Health,2855,208,108,8080
2015-01-03,Culture,414,766,70,5022
2015-01-03,Culture,4531,551,108,6192
2015-01-03,Fitness,508,66,165,5380
2015-01-03,Music,6976,421,190,2408
2015-01-03,Fashion,8562,271,42,5272
2015-01-03,Health,4558,308,197,6607
2015-01-03,Health,9975,252,128,6974
2015-01-03,Family,7273,477,7,6010
2015-01-03,Culture,4058,72,188,6755
2015-01-03,Family,5573,335,174,3023
2015-01-03,Food,3832,79,187,7943
2015-01-03,Fitness,8064,969,166,1524
2015-01-03,Culture,4620,940,181,7230
2015-01-03,Music,7115,803,66,9276
2015-01-03,Health,3236,667,189,5430
2015-01-03,Fashion,4413,545,184,7103
2015-01-03,Food,8791,499,157,1958
2015-01-03,Family,6622,9,126,842
2015-01-03,Fashion,9126,243,17,3306
2015-01-03,Fitness,6735,27,8,8464
2015-01-03,Fitness,7611,420,164,2959
2015-01-03,Music,4258,479,73,5884
2015-01-03,Travel,5722,805,43,8700
2015-01-03,Culture,2743,899,89,7726
2015-01-04,Culture,1374,556,68,8856
2015-01-04,Fashion,6321,496,35,9998
2015-01-04,Fitness,8015,916,52,7521
2015-01-04,Culture,820,34,29,732
2015-01-04,Health,3294,872,139,3787
2015-01-04,Health,3683,279,192,59
2015-01-04,Fashion,7779,47,0,74
2015-01-04,Fitness,9375,710,172,8517
2015-01-04,Food,9167,293,147,5847
2015-01-04,Family,6764,287,87,5161
2015-01-04,Family,2276,914,59,919
2015-01-04,Family,5342,205,122,2747
2015-01-04,Fashion,2290,592,93,6337
2015-01-04,Music,4036,944,173,6592
2015-01-04,Music,3682,958,170,4015
2015-01-04,Fashion,1865,256,36,3614
2015-01-04,Music,1762,632,148,7447
2015-01-04,Culture,8943,615,122,1166
2015-01-04,Family,7414,802,198,614
2015-01-04,Health,9771,295,157,1112
2015-01-04,Family,3732,382,181,1680
2015-01-04,Fitness,9697,117,140,2657
2015-01-04,Family,32,2,90,3035
2015-01-04,Culture,9459,882,156,8602
2015-01-04,Food,8179,571,47,1045
2015-01-04,Culture,6909,390,38,3346
2015-01-04,Fitness,2406,140,152,9451
2015-01-05,Fashion,4678,533,8,72
2015-01-05,Travel,2226,40,20,119
2015-01-05,Culture,3218,542,80,6235
2015-01-05,Travel,9676,572,84,8534
2015-01-05,Fashion,8754,316,57,2554
2015-01-05,Fashion,6270,438,79,467
2015-01-05,Music,7606,175,177,2803
2015-01-05,Travel,1677,900,194,9350
2015-01-05,Health,6658,128,120,6560
2015-01-05,Health,700,878,87,4895
2015-01-05,Food,194,117,137,9954
2015-01-05,Culture,3295,689,164,1906
2015-01-05,Culture,1765,719,20,9015
2015-01-05,Music,6515,175,30,4270
2015-01-05,Music,2189,576,128,5348
2015-01-05,Health,206,124,198,256
2015-01-05,Food,7684,744,41,1811
2015-01-05,Travel,2543,385,6,777
2015-01-05,Health,1054,609,84,5095
2015-01-05,Music,2055,450,49,9378
2015-01-05,Music,8316,288,35,1201
2015-01-05,Culture,7915,21,157,9147
2015-01-05,Family,6645,597,104,5864
2015-01-05,Travel,3879,137,81,1275
2015-01-05,Travel,5315,513,119,2927
2015-01-05,Culture,7,14,109,7172
2015-01-05,Travel,9351,683,198,6810
2015-01-06,Health,7344,99,10,482
2015-01-06,Culture,4740,696,148,2023
2015-01-06,Fashion,6045,530,125,6483
2015-01-06,Music,7117,333,32,1759
2015-01-06,Health,9807,12,103,3623
2015-01-06,Family,801,974,122,7999
2015-01-06,Family,8042,14,97,5524
2015-01-06,Family,9612,343,14,637
2015-01-06,Fitness,9285,420,65,8439
2015-01-06,Family,3565,818,91,4472
2015-01-06,Food,7995,70,70,8545
2015-01-06,Fashion,1420,190,58,5848
2015-01-06,Health,5135,18,47,5026
2015-01-06,Culture,6690,369,153,968
2015-01-06,Food,783,174,81,6922
2015-01-06,Fitness,5728,155,56,4732
2015-01-06,Culture,7227,977,83,4547
2015-01-06,Family,2601,65,15,8929
2015-01-06,Culture,7448,244,94,7908
2015-01-06,Fitness,2794,693,11,1430
2015-01-06,Music,2395,391,193,5324
2015-01-06,Travel,707,839,75,6524
2015-01-06,Food,7715,727,113,4753
2015-01-06,Family,8797,910,107,293
2015-01-06,Health,9539,482,22,741
2015-01-06,Health,8739,791,186,1669
2015-01-06,Travel,786,159,83,2123
2015-01-06,Family,885,344,49,7479
2015-01-07,Food,7525,800,176,1487
2015-01-07,Culture,3092,636,81,2989
2015-01-07,Culture,6027,879,175,866
2015-01-07,Fitness,4341,523,190,9855
2015-01-07,Travel,2214,931,76,1499
2015-01-07,Family,6558,244,46,3122
2015-01-07,Family,5586,49,125,9589
2015-01-07,Fitness,6275,626,34,5567
2015-01-07,Fitness,4348,249,51,4085
2015-01-07,Health,8086,126,30,2492
2015-01-07,Food,9249,493,15,8619
2015-01-07,Music,2995,468,25,8917
2015-01-07,Family,1565,807,134,1286
2015-01-07,Food,3670,731,194,6863
2015-01-07,Fitness,6963,187,80,3174
2015-01-07,Music,9857,512,29,1310
2015-01-07,Food,3781,463,119,4238
2015-01-07,Food,3021,181,28,9697
2015-01-07,Food,450,627,193,508
2015-01-07,Music,8290,869,26,7237
2015-01-07,Family,5403,803,114,2944
2015-01-07,Music,1382,679,65,4735
2015-01-07,Music,5771,728,31,532
2015-01-07,Food,8550,690,188,299
2015-01-07,Family,588,243,18,3968
2015-01-07,Family,9634,585,181,9927
2015-01-07,Health,3019,948,164,1738
2015-01-08,Fitness,4925,740,60,248
2015-01-08,Food,5259,593,108,2177
2015-01-08,Music,9743,112,42,3915
2015-01-08,Culture,2993,736,175,3632
2015-01-08,Fashion,2826,317,160,6866
2015-01-08,Fashion,7073,193,67,9050
2015-01-08,Culture,5416,539,87,2838
2015-01-08,Fashion,1263,68,41,9488
2015-01-08,Family,6510,564,172,5375
2015-01-08,Food,593,684,73,7180
2015-01-08,Fitness,6140,219,51,4503
2015-01-08,Music,9582,668,77,3718
2015-01-08,Culture,136,373,6,4332
2015-01-08,Fashion,9924,353,183,6745
2015-01-08,Family,335,612,114,3046
2015-01-08,Fashion,5753,984,21,5332
2015-01-08,Fashion,8887,14,154,8832
2015-01-08,Family,5340,195,119,7972
2015-01-08,Travel,5764,228,51,5818
2015-01-08,Fashion,7507,730,103,1546
2015-01-08,Travel,6994,31,167,13
2015-01-08,Fitness,9597,507,81,4863
2015-01-08,Fashion,6571,549,119,6305
2015-01-08,Food,5798,649,74,9585
2015-01-08,Culture,4206,428,108,5147
2015-01-08,Food,7268,943,194,5898
2015-01-08,Family,593,168,52,9587
2015-01-08,Culture,5806,794,4,4507
2015-01-09,Fitness,9337,468,151,3730
2015-01-09,Fashion,4209,701,9,7109
2015-01-09,Culture,9714,682,101,2176
2015-01-09,Fashion,3707,651,34,7868
2015-01-09,Food,9788,777,47,8248
2015-01-09,Food,2508,921,31,2668
2015-01-09,Health,5066,338,125,1173
2015-01-09,Fitness,6084,406,193,8639
2015-01-09,Travel,3028,542,120,9702
2015-01-09,Culture,2233,250,66,7561
2015-01-09,Music,8169,71,69,1208
2015-01-09,Fitness,2931,182,24,5468
2015-01-09,Fashion,1303,57,195,4910
2015-01-09,Health,8360,336,129,2764
2015-01-09,Travel,9694,842,176,9326
2015-01-09,Culture,1129,230,144,7998
2015-01-09,Fitness,66,401,132,9488
2015-01-09,Fashion,2980,933,42,6704
2015-01-09,Fashion,8837,321,185,9462
2015-01-09,Culture,9776,827,194,4679
2015-01-09,Fashion,4159,894,59,8078
2015-01-09,Music,5124,983,59,3596
2015-01-09,Family,8655,605,60,641
2015-01-09,Food,2772,29,49,5751
2015-01-09,Food,5067,208,6,5969
2015-01-09,Food,9516,400,193,5372
2015-01-09,Fashion,2246,712,31,6415
2015-01-10,Music,711,171,65,581
2015-01-10,Family,179,551,162,9626
2015-01-10,Culture,4409,220,47,2148
2015-01-10,Travel,5131,701,114,4595
2015-01-10,Food,4963,264,117,2810
2015-01-10,Health,7525,690,163,4121
2015-01-10,Health,3437,678,72,4489
2015-01-10,Travel,7330,204,56,1524
2015-01-10,Fitness,6812,398,85,4297
2015-01-10,Culture,1163,833,93,4467
2015-01-10,Food,8479,735,184,8771
2015-01-10,Music,3455,976,158,4665
2015-01-10,Food,5991,260,89,8018
2015-01-10,Fitness,7066,819,104,9175
2015-01-10,Health,6712,462,196,8694
2015-01-10,Music,5054,809,66,929
2015-01-10,Family,6205,261,196,7971
2015-01-10,Music,5778,352,15,6450
2015-01-10,Family,4826,938,162,6576
2015-01-10,Food,555,726,53,9662
2015-01-10,Fitness,7007,926,31,1778
2015-01-10,Family,2403,853,63,8018
2015-01-10,Food,4185,592,174,7639
2015-01-10,Culture,7766,104,17,2889
2015-01-10,Health,2886,536,181,1160
2015-01-10,Music,8472,354,27,346
2015-01-10,Music,2877,642,69,593
2015-01-11,Fitness,4107,815,39,7859
2015-01-11,Food,8781,207,63,2166
2015-01-11,Health,5850,480,84,5041
2015-01-11,Travel,5105,634,101,6665
2015-01-11,Travel,6319,213,195,4481
2015-01-11,Music,2968,604,45,4605
2015-01-11,Fitness,9745,567,48,3149
2015-01-11,Culture,3139,223,57,3806
2015-01-11,Music,3965,189,167,3815
2015-01-11,Fashion,5838,890,46,2046
2015-01-11,Family,1076,432,67,2606
2015-01-11,Health,7369,700,59,9209
2015-01-11,Food,5660,940,131,2665
2015-01-11,Fitness,2190,929,61,3915
2015-01-11,Food,3031,992,183,2072
2015-01-11,Fitness,200,213,35,1641
2015-01-11,Music,1378,599,46,5006
2015-01-11,Fashion,7342,719,177,4958
2015-01-11,Fitness,812,545,2,8784
2015-01-11,Music,7183,160,23,2781
2015-01-11,Culture,8485,364,4,9575
2015-01-11,Music,5763,300,153,3381
2015-01-11,Family,8037,653,73,6949
2015-01-11,Health,5306,813,37,4866
2015-01-11,Fitness,6059,882,31,3187
2015-01-11,Health,5289,845,171,2204
2015-01-11,Health,7008,196,96,4825
2015-01-11,Health,940,396,54,2157
2015-01-12,Health,5719,636,33,7674
2015-01-12,Fashion,8963,240,140,4274
2015-01-12,Health,9094,787,100,6567
2015-01-12,Family,5048,229,53,2925
2015-01-12,Culture,9593,992,145,9508
2015-01-12,Culture,7663,498,162,383
2015-01-12,Fitness,6077,222,9,2431
2015-01-12,Food,3313,676,129,5591
2015-01-12,Fitness,6389,215,20,1163
2015-01-12,Culture,9051,394,116,7352
2015-01-12,Family,5426,733,87,2947
2015-01-12,Music,7911,50,131,5095
2015-01-12,Fitness,602,798,89,8541
2015-01-12,Music,2801,798,136,8510
2015-01-12,Family,3754,973,168,8819
2015-01-12,Health,2097,388,69,9038
2015-01-12,Health,1253,359,64,3613
2015-01-12,Fitness,5278,402,188,1250
2015-01-12,Music,8694,246,149,8445
2015-01-12,Fashion,7896,254,46,4959
2015-01-12,Travel,860,412,135,4089
2015-01-12,Food,7109,30,19,6050
2015-01-12,Fitness,3853,595,46,9084
2015-01-12,Health,9234,727,29,4413
2015-01-12,Music,6052,691,42,4689
2015-01-12,Travel,1004,909,53,8747
2015-01-12,Food,6315,992,139,2278
2015-01-13,Fashion,2001,120,77,8120
2015-01-13,Fashion,2423,834,127,1815
2015-01-13,Family,9473,965,47,3814
2015-01-13,Food,5384,23,111,5156
2015-01-13,Fitness,5744,411,28,3714
2015-01-13,Music,980,100,134,3667
2015-01-13,Culture,3715,312,7,7056
2015-01-13,Culture,8652,149,112,8910
2015-01-13,Health,5023,149,130,9053
2015-01-13,Family,2078,814,197,7299
2015-01-13,Fashion,2016,840,189,5347
2015-01-13,Health,3826,633,142,1714
2015-01-13,Food,4856,621,0,7325
2015-01-13,Health,5366,994,199,3794
2015-01-13,Culture,457,757,13,6547
2015-01-13,Family,1018,594,112,1661
2015-01-13,Food,7272,506,63,6538
2015-01-13,Music,3078,427,92,3692
2015-01-13,Fitness,3869,787,86,60
2015-01-13,Culture,5628,285,113,7120
2015-01-13,Travel,589,307,184,3901
2015-01-13,Fitness,9075,388,143,2820
2015-01-13,Fitness,8866,547,197,8040
2015-01-13,Music,45,895,163,4254
2015-01-13,Fitness,4598,45,155,6807
2015-01-13,Health,850,226,47,3425
2015-01-13,Family,8534,293,134,8182
2015-01-13,Travel,2087,334,159,9185
2015-01-14,Fashion,1020,820,90,8815
2015-01-14,Fitness,781,761,156,6875
2015-01-14,Food,9826,651,98,4071
2015-01-14,Music,3981,942,131,2377
2015-01-14,Fashion,7513,722,167,1322
2015-01-14,Fitness,1106,186,144,8209
2015-01-14,Family,1397,911,160,2948
2015-01-14,Culture,5497,959,181,9281
2015-01-14,Culture,6277,53,141,5556
2015-01-14,Family,2123,665,101,3468
2015-01-14,Family,2005,708,124,6319
2015-01-14,Travel,9237,467,194,1821
2015-01-14,Health,997,30,157,3646
2015-01-14,Travel,3598,997,182,2152
2015-01-14,Music,1297,437,111,2640
2015-01-14,Family,1485,477,81,7195
2015-01-14,Culture,3031,666,44,9839
2015-01-14,Fitness,4840,783,165,3469
2015-01-14,Music,9876,87,132,4470
2015-01-14,Fitness,9890,769,99,1357
2015-01-14,Music,6875,399,5,7473
2015-01-14,Fashion,6728,76,154,817
2015-01-14,Travel,5800,980,135,7782
2015-01-14,Culture,8406,613,14,8768
2015-01-14,Culture,1367,378,20,7579
2015-01-14,Health,2285,148,166,7618
2015-01-14,Fashion,5628,686,2,4181
2015-01-15,Family,7224,52,62,7934
2015-01-15,Travel,6830,937,69,6008
2015-01-15,Food,5302,825,28,6489
2015-01-15,Travel,3974,110,185,4896
2015-01-15,Culture,1245,661,82,718
2015-01-15,Travel,4581,873,164,8924
2015-01-15,Health,3547,572,3,3526
2015-01-15,Music,1405,592,85,2703
2015-01-15,Food,3898,585,132,4233
2015-01-15,Music,8176,811,25,718
2015-01-15,Culture,7520,715,66,9275
2015-01-15,Music,722,831,81,5819
2015-01-15,Music,3184,442,143,6461
2015-01-15,Fitness,2695,435,73,2187
2015-01-15,Fitness,5834,708,147,6609
2015-01-15,Family,4262,642,44,9507
2015-01-15,Travel,1939,526,80,4908
2015-01-15,Health,7425,843,66,7209
2015-01-15,Health,9026,410,97,1721
2015-01-15,Fashion,7058,982,172,6109
2015-01-15,Music,597,843,96,3203
2015-01-15,Travel,8834,933,43,3649
2015-01-15,Culture,8740,478,97,8707
2015-01-15,Fitness,7528,903,68,2708
2015-01-15,Health,7454,954,166,6319
2015-01-15,Health,4771,852,27,8173
2015-01-15,Travel,6540,149,49,8625
2015-01-16,Travel,2444,265,21,4138
2015-01-16,Fitness,2513,418,30,3011
2015-01-16,Music,3216,785,51,3674
2015-01-16,Culture,6155,700,78,2501
2015-01-16,Fitness,4662,259,114,637
2015-01-16,Family,2604,499,163,407
2015-01-16,Fashion,755,33,146,4428
2015-01-16,Fashion,5225,763,118,6656
2015-01-16,Music,2455,83,13,7005
2015-01-16,Travel,5946,573,13,7966
2015-01-16,Fitness,2725,115,47,2441
2015-01-16,Travel,8537,391,6,4520
2015-01-16,Food,8458,503,47,153
2015-01-16,Health,6743,195,147,7506
2015-01-16,Music,1924,794,161,5755
2015-01-16,Music,3732,732,37,7077
2015-01-16,Fitness,580,437,172,4267
2015-01-16,Music,6038,282,119,9665
2015-01-16,Food,6011,830,162,454
2015-01-16,Culture,1381,666,166,2867
2015-01-16,Fitness,9360,671,143,5376
2015-01-16,Health,5692,749,105,9973
2015-01-16,Culture,4453,979,63,8901
2015-01-16,Health,3274,621,59,9450
2015-01-16,Food,1638,907,143,408
2015-01-16,Health,7648,315,179,1088
2015-01-16,Food,4528,221,116,4365
2015-01-16,Fitness,1268,763,30,782
